,excerpt_and_book
Adventures The Junk Cruncher Jan Burchett and Sara Vogler © Jonatronix OXFORDThe junk cruncher pg24/605_right.png,1
"Wolf Fables (tive fables, originally from Ancient Gree Pie Corbett lustraed by Ester Garcia Cortes Tage Marie Jensen Scott Plumbe Y CONTENTS ‘The Wolfin Sheep’ Clothing 3 The Boy Who Cried “Wolf! i ‘The Wolf and the Goat 25 OXFORDWolf fables pg10/962_right.png",1
"Necktor Necktor is a big, yellow Gubloon. She is the oldest flower on the planet and is the leader of all the other Gubloons.Fear forest, pg32/126_right.png",1
Why did the chicken cross the road? To get to the other side. Why did the chicken cross the playground? To get to the other slide. Which side of a chicken has the The outside! most feathers?Escape of the giant chicken pg32/14_left.png,1
"Si ake about Ue Indian seasons — ‘winter, summer and monsoon ~ and how ‘the land was often dry and dusty. Do you miss ‘Cobia ws il ro ack ‘offresh air and exercise. Mayhe bel order for long, let alone walk | | ™€o stay away, or or play outside tell Me Craven Tani stand 2 the secret garden",1
Sparks shot from his hands. They hit the grass cutter.It's too hot pg16/98_right.png,1
"Every publisher hopes for a best-seller. In 1999, the Harry Potter books by JK Rowling broke the record for the highest sales for a series in one Year. Over 23 million copies were sold worldwide. Each part of the printing press adds one of four colours (red, blue, yellow and black). Each colour is printed as a tiny dot. A mix of these four colours makes any colour.Making a book pg24/763_right.png",1
"Max and Cat followed Nok into the forest. They carefully weaved their way through the plants. “Ouch!” cried Cat, as she snagged her sleeve on a spike. They all froze. The plants seemed to be waking up.Grumptus attack pg32/604_right.png",1
"What's Next, Explorers? Now you have been ona magic key adventure to find a stinky plant, find out all about plants ... Explorer Challenge for Plants for Dinner Find out what part of the plant this is ...The stinky plant pg24/197_left.png",1
"ccuraper 2 A girl on board! ‘Ah-ha,’ cried Cutthroat. ‘What luck! ‘There’s more crew for us. D'you think ‘they'd like to join us, lads?"" He grinned cruelly, adding, ‘We'll take the fit and toss the rest overboard.’ ‘We showed our guns and, in no time at all, the new ship had given up without a fight.Grace the Pirate/6_right.png",1
"OK, easiest job first. It'S 1856. There are all kinds of jobs on farms for young people like you. You can start this ‘one when you're just five or six years old, You're a scarecrow! It’s your job to scare birds away from eating seeds and plants in the fields. You'll shout loudly — and clap bits of wood together, too, Clack, clack! Now do this for 12 hours, every day. Your pay is almost nothing, But if you're lucky, you might also get a turnip! That's a hard, round vegetable that’s mostly fed to farm animals, Now there’s something to look forward to! Come on, clack, clack! iTop 10 worst jobs in history pg24/930_left.png",1
"Sky Flyer On 14th December 1903, the first powered aeroplane took flight ~ and then crashed! The Flyer, which was built by the Wright brothers, flew for just 3.5 seconds. Three days later, the Flyer flew again ~ this time for 12 seconds, at Kitty Hawk in the United States of America (USA). Kitty Hawk was a good place for flying. It had strong winds, which helped the Flyer take off, and soft sand for crash landings! The Wright brothers built | wind tunnel. They used it to test about 200 different wing shapes.Flight or fright pg24/1174_left.png",1
"“Now we can all join in,” said Max. “Can I be goalkeeper?” said Nok.Goal pg16/247_right.png",1
"Feel the ribbon, find the card! This one? That one? Heart thumps hard. Trembling fingers, throbbing head, then... a voice yells _| ‘BACK TO BED!’ Judith NichollsSpecial day poems pg16/1354_right.png",1
"I've watched a mole Go down his hole, Followed ants along a path. So why am I So frightened of A spider in the bath? Lynette Craig8 Minibeast poems pg16/336_right.png",1
"‘I swept it only five minutes ago,’ said the second cleaning lady. ‘Let me have a look.’ She walked into the cell. Princess Jane closed the door and turned the key. 20(13)/1002_left.png",1
ast of the S Uy ot of the Mo ane Written by Chris Powling 7) Illustrated by Violeta Dabija ‘soEast of the sun west of the moon pg32/602_right.png,1
Mrs Mills tipped the cold tea into the sink. SPLASH! Tiger swirled round and round. He was pulled towards the plughole ...Tiger's discovery pg24/429_right.png,1
"How neatly spreads his laws, And welcomes little fishes in With gently smiling jaws Jabberwock",1
"Tve chased fat hens, Pushed sheep in pens, Held chickens in my hand. Been stung by bees On both my knees, Pulled crabs out of the sand.8 Minibeast poems pg16/336_left.png",1
"The panther turned and bounded off down a passage. “It’s the panther we rescued, Cat,” Max said. Max and Cat had helped the big cat when it was trapped. “I think it wants us to follow it.” They ran after the panther through the maze of passageways.Chamber of treasures pg24/2376_right.png",1
"Fast Wheels INLINE SKATING In 1979, Scott and Brennan Olson swapped the blades on their ice-hockey boots for wheels. The wheels were in one line, which made the skates go faster! CUA Ta oe couldn't turn left Car nae Oka eee econ Ouch!Wild wheels pg24/724_left.png",1
"Suddenly there was a long wailing sound. “That’s an air raid warning,” said Wilma. “Tt means we're going to be bombed.” People began to run. A man shouted at them. “Hey!” he yelled. “Get into the shelter!” What was it like",1
"Plod, plod, plod they went down the long, hard road to town.Tom, dad and colin pg16/903_left.png",1
"Biff, Chip and Wilf were in Mr Johnson’s class. The children liked Mr Johnson, He made everything interesting and he told lots of good stories. Viking adventure",1
"“Get away!” the mother Raptiss screeched. She stepped closer, her jaws snapping. “Wait!” the baby Raptiss called. “Stop! Creatures saved me!” The mother Raptiss paused.The screams of the raptiss pg24/1538_left.png",1
This is a big digger.Diggers pg16/395_left.png,1
"Chapter # Quite Grand One cold day, Puss jumped onto a window sill and saw Miss Alice Fitzwarren sitting beside a fire. Puss slipped into the room and Alice took Puss onto her knee. Alice became good friends with Puss, and with Dick too. Close bookDick Wittington/445_right.png",1
The monster lunged at them. Nok pulled the controls. The ship swerved to one side.Worm song pg24/640_right.png,1
“Jump on to my sponge trampoline!” he said. Tiger jumped ...The play park pg16/1023_right.png,1
I went to the pool.Kipper's diary pg8/649_right.png,1
"“The fabricator made some funny noises earlier,” Ant said. The fabricator was a special machine. It could make or copy anything it was programmed to. “Tl take a look,” Tiger said.Tiger x4 pg24/1680_right.png",1
"What can he see as he darts by? Below, dark weeds. Above, blue sky. Across the pond the boatman rows. Where is he going? Nobody knows! Judith Nicholls8 Minibeast poems pg16/338_right.png",1
"“Whatever it was, it frightened the beetles,” said Max. “Look, they're going back into the hole.”Into the pyramid pg32/74_right.png",1
"Fingers A strange-looking animal lives on the island of Madagascar. It has big ears, large front teeth, and long, thin fingers like sticks. It is called an aye-aye. The aye-aye is nocturnal and it lives in the rainforest. It taps on a tree with its thinnest finger and listens for é the hollow burrows of insect grubs. Then it chews a hole in the bark, sticks its thinnest finger in and pulls Rainforest ‘out a juicy grub. @Big ears and sticky fingers pg24/1472_left.png",1
"Later, as the Princess ate her supper, she heard a sound. “What's that?” said the Queen. “Nothing,” said the Princess.The frog prince pg24/1533_right.png",1
"Atable appeared beside the fire, spread with $7, sp every kind of delicious food she had ever seen. § And so Katya sat close by the fire and ate. Soon she felt warm and full of good food. As she thanked the Snow King for his kindness, her eyelids grew heavy and she fell into a deep sleep.Snowking pg32/251_left.png",1
"It was the BITE - a Spider-BITE. Quickly, Tiger jumped down. Tiger hated spiders!Stampede pg24/1374_right.png",1
Tiger wondered what Miss Jones had lost. He looked into the staffroom. “What does it look like?” asked Mrs Mills. Miss Jones held out her hand. Something sparkled.Tiger's discovery pg24/424_left.png,1
Did you find out how to make a rain shadow? The answer was on page 17.Outdoor art pg24/850_right.png,1
"Miko looked angry. His ears flapped furiously. ""We can trust the human child! He is on our side!” Eric felt terrible. There was so much he should say, but he couldn't say any Eric trudged away from the elephant pen. His mind was in torment. What on earth was he going to do? 37Eric's talking ears pg48/2236_right.png",1
"top hat for my ‘rabbit in a hat’ trick sleeves great for hiding things outside pockets easy to reach to pull things out belt @ with hooks at the back for secret itemsRabbits, hats and secrets pg24/1441_right.png",1
"Wilf and Wilma were in their house. They were looking out of the window. Biff, Chip and Kipper waved at them. “You can come and rescue us, next,” called Wilma. Flood!",1
"Venus This is what you call exciting! Tf you went down there, you would get squashed like a tomato because the atmosphere is so heavy. Then you would get roasted! The thick clouds of gas trap a lot of heat. ut you get! Only kidding, earthling.Way out day out/512_left.png",1
"“T have seen five of the blue ones,” said Chip. “And three of these.”The orchard thief pg24/487_right.png",1
The crab lifted Ant up in its claw. It went scuttling off.Claws pg16/399_right.png,1
"Max, Cat and Nok continued on through the sickly looking forest. They saw more of the white flowers peeping out from behind the trees.Fear forest, pg32/121_left.png",1
"Kipper did not notice this. He put down the magic key and went to find Biff and Chip. ‘They were in the garden with Gran. They all gasped when they saw Kipper. “Oh!” said Biff. “Something’s gone wrong. You look grey, like an old photograph.” WKey trouble pg32/580_right.png",1
"“That means the fragment must be here, too,” Max said. The pyramid was surrounded by a moat of hot bubbling, red liquid. They could feel the heat rising off it. Their wings began to flicker and fade from the heat. “We need to land!” said Max.The hunt for Nok pg24/1146_right.png",1
"Chip tried to pull a sad face. “I'm going to pretend to cry,” said Wilf. He made a loud noise blowing his nose. “Stop it,” said Biff. “You're making me laugh.” The others began to laugh too. “We shouldn’t laugh,” said Wilma. What was it like",1
"Rory tried to sleep, but in came his friend Mohammed. “Hello, Rory,” he said. “Your mum says you've lost your voice.” Rory nodded, sadly. “What shall I do?” he tried to say. “T'll need it for the Big Match.”Rory's lost voice pg24/155_left.png",1
"“We need to fix the power unit ... fast!” said Nok. “I will go,” said Seven. “Tl help,” Max said. “Me too!” said Tiger.Spacewalk pg24/580_right.png",1
"Wilf and Chip played in the rocket ship. They pretended to be spacemen. “The rocket is going to take off,” said Wilf. “Five ... four ... three ... two...”Red planet pg24/363_left.png",1
Which Englist queen was the bi Elizabeth I or Vi Would you choose je cake? Is a pet bec than lots of do Pick your que OXFORDPick your queen pg24/1301_left.png,1
"“Hillooo,” said a growly, snarly voice. “Are you Nelly the monster sitter?” “That's me!” said Nelly. “Where do you live?” “Number 76,” said the monster. “I’ll be round at 6.30,” said Nelly. At 6.30, Nelly rang the doorbell of Number 76. Nelly the monster",1
She pressed the doorbell. “I had no idea so many monsters lived in the street!” she smiled. It was some minutes before Nelly heard footsteps shuffling towards the door. The door handle turned and the door opened slowly. Two bloodshot eyes peered round the door at Nelly. Nelly the monster,1
"They fell down and down inside the planet. “T don’t like this,” thought Floppy. “I want to go home.”Red planet pg24/372_left.png",1
"Written by Roderick Hunt strate by Alex Brychta BEFORE READING Talk together Look at the cover and read the tte together, Ask What i special about submerine? Would you tke fo go in one? Explain that sub means under ond marine means zea. Atk: hot might you geeunder the 220? * Look through the book and telk about the pictures. ‘About the words in this book + Yur child will probably be able to read most of the words in this book, Encourage your child to sound out land blend any challenging words. uch os those below. Ifnecessary, ‘adel the Blending of read the words for your child aeroplane lever peered diamonds DURING READING Enjoy the story together. your child needs support to read the story: * Remind your child 10 blend unfemior ‘words from left tovight + ta words stil too techy. simply soy the wile word for your chil + Revread sentences ta focus on their meaning where necessarySubmarine adventure pg32/272_left.png",1
"“That was cool!” said Tiger. “I want another go. Come on, Max!”The play park pg16/1024_left.png",1
"“We won’t be last,’ said Otto, ‘because they're alll going the wrong way. Look at the clue.’ Clue tomber 1 Classroom Start at the classroom door. Then walk along. Dorit go right. Then you won't go wrong.Oh Otto pg32/522_left.png",1
"Just before nine o'clock, the monsters arrived home with a napkin fall of mints “These are for you, Nelly. We've been out for a meal and we've had a lovely time.” “So have we, haven't we, girls!” said Nelly. Blotch and Bog gave Nelly a monster hug and Nelly waved goodbye. 26 Nelly the monster",1
"About the author I seem to have learned a lot about ears lately. The other day, my husband, Phil, told me his mum could waggle her ears not just both at once, but one at a time. Then I read about a scientist who made a cap with animals cars fixed to it, so he could ""talk"" to animals. With all these fascinating facts about ears buzzing around in my brain, I just had to write a story like Eric's Talking Ears. 48Eric's talking ears pg48/2242_left.png",1
"Ant gulped. “Time to go.” Slowly the friends began to wade through the goo, but they couldn't get away quick enough. 2The attack of the giant Meeb pg32/65_left.png",1
The crab darted across the rocks. It held on tight to Ant. @G “Help!” he cried.Claws pg16/400_left.png,1
"Chat with an Acrobat. Ari, tell us a bit about yourself. Well, I'm 13 years old and I go to school five days a week. But I don't just go to ordinary school - most weeks I spend six or seven hours at circus school, too. Both schools give me homework, but I have a lot more fun doing my circus homework! At circus school, Ari learns new skills all the time. He also practises the skills he has already learned so he can keep getting better at them.Skill and thrills pg24/283_left.png",1
Then she has a sleep.A dogs day pg16/336_right.png,1
"“See,” said Nok, with a grin. “I did help!”Cat's painting pg16/132_right.png",1
"This page is for an adult to read with you. This page is for an adult to read with you. Now you have read ... Jungle Trail Take a closer look Look for words that describe different ways of moving around the Jungle Trail zone. Can you think of any words of your own? Thinking time What dangers do you think Team X and Mini should look out for in the jungle? ‘, x as Y 1 I can't wait to explore! — \Stampede pg24/1368_right.png",1
"The Rovers team laughed. ‘This is a football match. Ponies can't play,’ said one. Rovers’ captain went over to Pippa. ‘Have you seen Flo Jones? She hasn’t come yet and we're one player short."" ‘I don't know anyone called Flo,’ said Pippa. ‘My name is Pippa Jones.’The wrong letter pg32/68_left.png",1
"a ScRATcH Tip If you want to get asked to Parties, try not to scream or make your ears go red. a Close book So it’s noisy, smelly and freaky — but usually harmless to humans. It would only bite you if you scared it. Tasmanian devils are endangered because they are often hunted, hit by cars, or they suffer from diseases. There are so few devils left now, they're protected by law. Poor devils. @ 19Scratch's bad reputation pg24/1657_right.png",1
What a brave dog!Dragon danger pg20/937_left.png,1
"The Moxorians marched out of the hot sun and into the cool tunnels inside the mine. As they got deeper inside, the friends could see the jagged walls were covered in shimmering metal.The mines of moxor pg32/575_left.png",1
"downright balmy. Fora day or two, midweck. “You don’t have to be so negative? I told her. ‘And you don’t have to be Mister Sunshine all the time! Peering at her camera, she twisted off the lens, stowed it in the bag and snapped on an even longer one. That camera of hers was really very impressive. My fingers itched for ago at it. I decided I should try being nice. “So what do you want to do first?’ [ asked. ‘We could go down to the sho ‘I suppose. She frowned in concentration. ‘I guess you'd be interested in those seagulls? “They're just called gulls} I said. I couldn't help myself, though I knew it was a mistake. Sophia glowered at me for a moment. Then she spun on her heel and marched off towards the chipped concrete steps that led down to the beach. I rolled my eyes, annoyed at myself for saying the wrong thing. Nice one, Martin. I jogged to catch up with Sophia. The gulls were fighting over the remains of a bag of chips, so I 23 Double Exposure",1
Everyone was frightened. “Help!” shouted the boy.The scarf pg24/965_right.png,1
"The micro-friends began to dig. It wasn’t easy because they only had their tiny wooden cutlasses. Tiger wished he'd kept his ice-cream spoon. Soon, their arms started to ache. Suddenly, Ant’s cutlass hit something solid.Treasure Hunt pg24/309_left.png",1
King Harry was at the sink 3 doing the dishes. Captain Smith + was mopping the floor. Captain Jones was washing the royal shirts.(13)/996_left.png,1
"Chapter 2 A Good Start Freeb was doing a jigsaw on the carpet. “She's very hairy, isn’t she?” said Nelly. “Thank you,” said Blob proudly. “We think she’s got her dad’s eye, too.” Nelly sat down with Freeb and began looking for some edge pieces. “OK,” said Nelly. “You go and have some fun, Please be back by 9.30.” Close book Nelly the monster",1
"Assisted by Ali Sparke. UK TV's Nature Expert, Chris Packham, says: “Tt takes all sorts of animals to make the wild world work and every creature in this book has a very important job to do. I hope that by learning a bit more about them, you'll learn to love them, too. An animal doesn’t have to be cute and cuddly to matter - so join Scratch and champion these important underdogs!” OXFORDScratch's bad reputation pg24/1648_right.png",1
"Gran had come to watch the rehearsal. “My goodness!” she said. “I don’t believe it! Biff is wearing a dress!” “That's because we're children from World War Two,” said Biff. “Girls didn’t wear trousers then.” What was it like",1
"Gran was good fun. The children were glad she had come.No tricks, Gran! pg16/1139_left.png",1
Ben and Amy went to the farm to choose the new puppy. “Which one is ours?” whispered Amy. o! Three little puppies were } shuggled up in a basket with their mum. Dad smiled. “Which one would you like?” he asked.Hero pg24/183_left.png,1
Max tells Cat to stop. a ~ | ie . Cat will not stop. > ) She just runs and runs.The web pg24/160_right.png,1
There was a buzzing in the air. The micro-1 jends stopped digging and looked up. Dark shapes darted above ~\ them. The buzzing got louder. Tiger froze with terror. Max’s blood went cold. Cat squealed. One tiny word came out of Ant’s mouth. It was ... “Wasps!” Max swiped at a wasp with his cutlass. That just made the wasp cross. Other wasps were zooming in fast.Treasure Hunt pg24/310_right.png,1
"Close book Wild fact Sometimes the monkeys make snowballs ~ just for fun! Where in the world? Location: The mountains of north Japan, Asia Habitat: Mountain forests - cold, snowy, windyBig ears and sticky fingers pg24/1475_right.png",1
"The Moxorian started yelling. “What’s he saying, Seven?” asked Ant. Seven listened carefully. “He says there is only one way to settle this. He’s challenging you to a Moxorian contest — the winner will get me and the fragment.” Find out what happens next in The Contest.The mines of moxor pg32/584_left.png",1
"put a baby’s bonnet on his head. “You are now,” she told him, and she gave him a nightgown and made their bathtub look like a giant cot. “Lie down,” she told Finn, “and Ieave Angus to me.”Finn MacCool pg32/36_right.png",1
"“So I sent for Puss. She soon dealt with the rats, as you can imagine. None better! Then the king of that place said that he wanted Puss to catch all the rats in the kingdom.” Dick's hands clenched into fists. But the Captain went on, “Look in that chest, Dick. There’s your reward from the King.” Close bookDick Wittington/455_right.png",1
She put a lamp on the shelf. Let's put up the stickers.Painting the loft pg16/1114_right.png,1
"Chapter 4 - The final chase “Let’s go!” yelled Tiger. He and Nok grew back to normal size and they all darted down the nearest tunnel Cat turned to see the Moxorians following close behind. The friends sprinted along the narrow tunnels, but they still couldn’t lose the scary aliensThe mines of moxor pg32/581_left.png",1
"But one Sunday, it rained and rained. The lane was muddy and the wheels were wobbly. And so the Giant wasn’t going as fast as he liked. He roared. a Close bookThe lazy giant pg32/1628_right.png",1
"At sea, Columbus learned different languages. He learned about tides and how to find his way using the stars. By 1492, he was ready to make his = maryellous mistake!History's marvellous mistakes pg24/751_right.png",1
"Just then, Captain Stella’s face appeared on the screen. She had been watching them on the space scanner. Captain Comet tried to make another sharp turn, The space monster was getting closer and closer. ‘Are you all right?’ Captain Stella asked. ‘What's going on?’Purple comet and the purple planet pg32/643_right.png",1
"Supporting older children with reading You con help your child te become a confident and enthusiastic reed by finding a quiet time and place to read so they can readin comfort, without distractions creating a regular reading slat. such os before going to sleep. oveoding becomes a habit talking about wht they are reading ond ther ceding tikes and tlsliks, This helps build their interest in what they ore reading fond develop personal choice in what they read. Reading with your child Your child wil reac most of this book ndenendenty You cule sll ask them to read a eve pages to you Be encouraging and peste - help them enjoy demonstrating their reading sil, As they read. encourage them to use expression in ‘heir voice to bring the texto ite. This helps them become more fluent readers. If they do get stuck ona word encourage them to try ta work it out. Check they understand the meaning f ony new orefficlt words, You could read afew pages to your child. Thies particularly help ther interest seems to be flagging Even older children stl enjy being od to. As wel os increasing thee interest and enjoyment. you are also showing that you toe find recding omething worth doing After reading this book Talk about what your child lked/sthed about the story. 1 Turn to pages 10. If your child wonts to, they could design ther ‘ov micro sized vehicle, Reread pages 44-45. Ask your child to think about the new vilain. the Collector. Who do they think he might be? What might he be ofter? your child wants to, they could look up some more information jebout blue wholes. Then they could meke a fact file about them Team X",1
"Chapter 3 - The bridge Max peered down a long tunnel. “We must be in a service duct,” said Nok. “We have them on the Excelsa.” The Excelsa was Nok’s microship. “The ducts run all over the ship.” “Do you think we can reach the bridge from here using the ducts?” asked Max.The destroyer pg32/431_left.png",1
The ball hit the web. “What a goal!” said Cat.Goal pg16/252_right.png,1
"Gran was pleased with them. “You were really good,” she said. Biff told Gran a secret. “The magic key showed us how hard it was in the war,” she said. “I’m glad we only had to act it.” What was it like",1
Peal gecko is called Tinsel sel likes to climb — onto Molly's head! ead! ~—@ isc gecko your perfect pet? 7 & _ teagectoyoursmiectset Sf YEO } Pros Cons «can be shy | & needs to eat living prey @ easy to look after | quiet | JWild Weather pg16/879_right.png,1
"“Spear thing hit us,” it said. “Stopped our spaceship.” “We must turn off the stoppy-spaceship thing,” said another Meeb. “Go back home.” “How long have you been trying?” asked Ant. The Meeb quivered sadly. “Years.”Spaceship graveyard pg32/162_right.png",1
"A nut, Chicken Licken!Chicken licken pg16/24_right.png",1
"animal/s .............4, 6, 22, 23 attacker ee ee eee 9 bee eee 3, 5, 8, 9, 23, enemy ..... 9,15 jellyfish ..........5, 10, 11, 13, 23 nettle .... Spy le pen plant/s ...........4, 6, 16, 22, 23 poison..............9, 13, 15, 20 prey... 19, 20 scorpion . .. 5, 18-21, 23 a 9 stingray ............ 5,14, 15, 23Things that sting pg24/404_left.png",1
"This page efor an adult to read with you. This page for an adult to read with you, Now you have read ... Pyramid Peril Take a closer look Imagine you are on the Pyramid Peril ride. What can you hear, see, smell and touch? How do you feel? Thinking time Do you think-Pyromid Pri sa. good name for this zone? Explain your answer. a I think pyramids | are fascinating!Into the pyramid pg32/68_right.png",1
"WANTEDI Expert ride! People have been riding horses for thousands of years to fight, hunt and carry messages. In Europe, it was mostly royalty and nobles who would ride horses to hunt wild pigs and deer. Only the richest people could afford horses until recently. In other places, like Russia and Central Asia, ordinary people have ridden horses for 7,000 years.Sport is fun pg24/936_left.png",1
"It was the first phone call! However, there was still a lot of work to do before Bell had made an actual telephone.Spread the word pg24/1265_right.png",1
"28 ‘The seagulls cackled. Their laughter made Bryn tremble. His fingers gripped Glyn’s fur tighter. The big seagull laughed che loudest Then she said, “Everything on this beach is ours. We're in charge around here. We take whatever we like and no one can stop us.” Bryn swallowed hard. Ie fele as if there was something caught in his throat. “Does that mean you did take it?”Beach detectives, pg48/2412_left.png",1
"A little while later, in came his other friend, Angus. “Mohammed tells me you've lost your voice,” said Angus. ""You'll need it for the Final!” “T know,” said Rory. But nothing came out. Angus went up, right next to him. “Say that again, Rory.” “T know..."" said Rory. But still nothing came out.Rory's lost voice pg24/156_left.png",1
"Elizabeth was the queen ° with the wigs! We call her Pick time to time Elizabethan. Elizabeth kept bears and had a monkey for a pet She liked to hunt, dance and eat gingerbread ™= a> You choose!Pick your queen pg24/1299_left.png",1
"Max, C area hi Sonu Roger) cre eet Cee ee Perret KFORDTreasure Hunt pg24/315_left.png",1
"“Please can we get back to the ship now?” said Seven, but the others were already hurrying off. “Do try to keep up, Seven,” said Tiger, with a grin. wa Find out what happens next in The Trap.Nurp Stampede pg24/1750_left.png",1
The dragon sped towards the ground. “It won’t do what I say!” yelled Tiger.Dragon training pg24/1227_left.png,1
"The Meebs looked at each other, then at Seven. “Try,” they hissed. “Be quick. Or your metal friend ... SPLAT!” The Meeb held Ant and Tiger close to the split and they wriggled inside. In front of them was a control panel. One red button was flashing.Spaceship graveyard pg32/163_right.png",1
They went back up to the loft. They had to sand it down.Painting the loft pg16/1112_left.png,1
"But it didn’t stop snowing, Everyone asked ‘Tromso, ""Help us to clear away the snow."" “Al of it?” said Tromso. “Yes please,” they said. “But don’t get cold.” “Trolls don’t feel the cold,” said Tromso. He took a big spade. He cleared away heaps of snow. Then he saw the snowman,Snow Troll pg32/194_right.png",1
Dad got the new hose. Biff turned on the tap.Everyone got wet pg24/1208_right.png,1
"A trip tothe gallery Fewas just a normal schoo! tip / Thisisa portrait | of Leonardo da Vinet, | | one ofthe world’s | \ preatest artist! Great artists",1
"Minibeast Poems Chosen by Y LE John Foster | ah YZ a. Contents The Wuzzy Wasps of Wasperton Daphne Lister 2 Fly John Kitching 4 Ants Brian Moses 6 Spider in the Bath Lynette Craig 7 A Blue Bottle Is Judith Nicholls 10 Stick Insect Judith Nicholls "" Water Boatman Judith Nicholls 12 Minibeasts John Walsh 14 Ladybird, Ladybird Tony Mitton 16 OXFORD8 Minibeast poems pg16/332_right.png",1
"“Enemies,” hissed some stray Meebs. Angrily, the blobby monsters floated down towards Cat, Ant and Seven. “Oh, no!” cried Ant. “The thorns don't scare them after all!” In moments, the three friends were surrounded. The menacing Meebs closed in. Find out what happens next in Save the World!Escape of the giant chicken pg32/18_left.png",1
A strange-looking acroplane was standing by a barn. Nadim and Anneena had never seen anything like it. Another man was working on the aeroplane. ‘The first man got out of the car and went over to him. 10The flying machine pg32/457_left.png,1
Julia reads her book at the zoo on World Book Day.A biography pg24/1434_right.png,1
"“We may have to stay here tonight,” said Wilf. “We can’t go back home to sleep.” Kipper was upset. There were too many people in the hall. He didn’t want to sleep there “I want to go home,” he said. » Flood!",1
"Sometimes we go to see works of art inside, in museums or art galleries. But you can also find art outside, in unexpected places - and you can make outdoor art yourself, too! You can find pieces of art in the world around you. You can look at them from far away or you can get up close to them. Sometimes you can even touch outdoor art. Outdoor art could be a sculpture on the side of a building or a beautiful pattern of leaves.Outdoor art pg24/840_left.png",1
"4 Nelson Mandela was released in 1990, after 27 years in prison. In 1994, South Africa held its fi could vote. Nelson was elected st elections in which everyone president. He was only president Nelson Mandela for five years, but he was a very ofter his release important person because he was the first black president of South Africa Nelson Mandela died in 2013. Thousands of South Africans and many world leaders came to his memorial service — so many that it had to be held in a football stadium, The memorial service So you see, heroes don’t all look the same. They Demis ~ ~ hero without don’t have capes or superpowers. But they do have eayearel one thing in common — they stand up for their beliefs. To be a hero, you need to be brave enough to stand up for what you believe, even if other people say you're wrong. 23Real heroes pg24/699_right.png",1
"The buzzles began to glow. The others arrived beside Ant. “What’s happening?” asked Cat, gasping. “Don’t worry, Nok’s going to be OK!” said Ant.Attack of the buzzles pg24/1239_left.png",1
"“We'll see to the power,” said Tiger. “Come on, Seven.” They headed down to the engine room and set to work.The junk cruncher pg24/613_right.png",1
"“It could be a distress signal,” said Seven. “I will check the ship’s computer.” “Nok, take us a bit closer,” said Max.Worm song pg24/638_right.png",1
Cricket balls are now made of cork. They are covered with four pieces of hand-stitched leather. They are red or white.Sport then and now pg24/1957_right.png,1
"He set off to find Dad. He was still struggling to make up his mind. He passed the gazelles. They were skipping about in a frenzy. Their ears flickered, ""We are going outside to the jungle. The jungle!"" “Oh, no,"" groaned Eric. “What if they get hit by cars? What if they meet the crocodiles?"" 39 Close bookEric's talking ears pg48/2237_right.png",1
"“We will all be free!"" waggled Maya. ‘As Eric watched, he felt his heart grow cold. He suddenly realized what they were up to. The animals were planning a mass break-out! And it was all because of him. He hadn't used the right words. He'd told them there was a jungle outside the zoo.Eric's talking ears pg48/2233_right.png",1
"(Cn to battle the BITEs, vel and stop CODE! rus-BITE the deadly Virus-BITE. Chase g for the BITE inside ody, but it could be nywhere ...Mission Marvel pg32/559_right.png",1
gap in clouds pink cloudsSwamp crash pg32/175_right.png,1
"Pike) = S “That's what [ wanted you to see,” said Aisha. “t's our star exhibition. I'm sure it’s going to be fantastic, but Just then Aisha’s phone rang, She answered it ~ then her eyes grew wide. “Oh, no!” she groaned. “I don’t believe it! That's really, really bad new: Journey to Mars",1
The crab’s sharp claws were snapping. Nok ran and hid underneath a big blue seashell.Claws pg16/398_right.png,1
We got some cool new spacesuits. Tiger and I went on a spacewalk. We were chased by a space worm! The ship was swallowed by a flying rubbish cart called the junk cruncher ... Luckily we escaped!Planet exis pg24/1079_right.png,1
"There are around 4000 types of cockroach but only about 25 are the kind that come indoors and dribble. They can spread diseases ... «». but they are amazing. @ Don’t believe me? Check out these facts! ScRATeH FACT The Madagascan hissing cockroach is like a walking set of bagpipes. It has holes down its body which it squeezes air through, making a hissing sound, ScRATeH FACT 5 Some cockroaches can survive CRATCH Tip without food for six weeks or more. And scientists have shown that some cockroaches can live without their heads for two weeks. Don't try to live without your head for two weeks, It doesn't work for humans. 9Scratch's bad reputation pg24/1651_right.png",1
"Loosejaw It is hard to see in the deep, dark ocean so this weird loosejaw has its own lights. Laren) Cola . around the loosejaw’s eyes, helping it to hunt Scola LeleDeep down pg16/549_left.png",1
"“It’s a wormhole!” cried Seven. “What's a wormhole?” asked Tiger. “It’s like a tunnel,” Ant explained, “only you don't know where it comes out.”Spacewalk pg24/578_left.png",1
Jo and Otto had turned left and walked along the corridor. ‘Look!’ said Otto. There was an arrow and it was pointing to a plant pot. Jo picked up the pot and found a map.Oh Otto pg32/524_left.png,1
Polar bears wait for seals fa 4 near holes in the ice.Who eats who pg16/789_right.png,1
"Carry blood away from your heart to your body Carry blood from your body back to your heart Blood carries the oxygen your body needs. Your blood travels all around your body in tubes of different sizes, Whats inside me",1
